,player_name,position,season,fantasy_points_ppr,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,tgt_sh,ay_sh,wopr_y,dom
0,Tom Brady,QB,2022,271.66,4694.0,25,9.0,-1.0,1,0,1,0.0,0,0.0013315579227696,0.0030995738086013,0.0044769959310355,0.0
2,Aaron Rodgers,QB,2022,239.2,3695.0,26,12.0,94.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
3,Aaron Rodgers,QB,2023,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
4,Aaron Rodgers,QB,2024,256.58,3897.0,28,11.0,107.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
5,Marcedes Lewis,TE,2022,26.6,0.0,0,0.0,0.0,0,6,7,66.0,2,0.0348258706467661,0.0332759609868043,0.0788595747595927,0.1349206349206349
6,Marcedes Lewis,TE,2023,12.9,0.0,0,0.0,0.0,0,4,5,29.0,1,0.0340136054421768,0.0079016681299385,0.0573417426672161,0.0761921624173748
7,Marcedes Lewis,TE,2024,1.2,0.0,0,0.0,0.0,0,1,1,2.0,0,0.0344827586206896,0.0094339622641509,0.0592713077423552,0.0044247787610619
8,Matt Ryan,QB,2022,155.28,3057.0,14,13.0,70.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
9,Joe Flacco,QB,2022,48.64,1051.0,5,3.0,6.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
10,Joe Flacco,QB,2023,100.84,1616.0,13,8.0,2.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
11,Joe Flacco,QB,2024,99.04,1761.0,12,7.0,26.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
12,DeSean Jackson,WR,2022,24.3,0.0,0,0.0,0.0,0,9,17,153.0,0,0.096590909090909,0.1980327868852459,0.3033125931445604,0.0713619402985074
13,Chad Henne,QB,2022,-0.5,0.0,0,0.0,-5.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
14,Josh Johnson,QB,2022,0.7000000000000001,10.0,0,0.0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
15,Josh Johnson,QB,2024,0.78,17.0,0,0.0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
16,Matthew Stafford,QB,2022,108.38,2087.0,10,8.0,9.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
17,Matthew Stafford,QB,2023,243.1,3965.0,24,11.0,65.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
18,Matthew Stafford,QB,2024,214.58,3762.0,20,8.0,41.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
19,Chase Daniel,QB,2022,8.48,52.0,1,0.0,4.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
20,Brian Hoyer,QB,2022,1.48,37.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
21,Brian Hoyer,QB,2023,4.94,231.0,0,2.0,-3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
23,Colt McCoy,QB,2022,32.8,780.0,1,3.0,36.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
24,Jimmy Graham,TE,2023,33.9,0.0,0,0.0,0.0,0,6,7,39.0,4,0.0486111111111111,0.0391425908667288,0.1042307393600497,0.2418993160668236
25,A.J. Green,WR,2022,61.6,0.0,0,0.0,0.0,0,24,47,236.0,2,0.0900383141762452,0.1413670052154817,0.2481510754367532,0.1206869262424817
26,Julio Jones,WR,2022,70.4,0.0,0,0.0,45.0,0,24,43,299.0,2,0.094298245614035,0.195398574206092,0.2977662277859262,0.109450010955957
27,Julio Jones,WR,2023,36.4,0.0,0,0.0,0.0,0,11,19,74.0,3,0.0756972111553784,0.0635922330097087,0.1644196031408347,0.1279410583795069
28,Blaine Gabbert,QB,2022,5.16,29.0,1,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
29,Blaine Gabbert,QB,2023,5.900000000000002,185.0,0,3.0,45.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
30,Mark Ingram,RB,2022,50.1,0.0,0,0.0,233.0,1,16,18,68.0,0,0.0524781341107871,-0.0054261091605489,0.0743763138377415,0.0132038834951456
31,Andy Dalton,QB,2022,174.24,2871.0,18,9.0,54.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
32,Andy Dalton,QB,2023,23.64,361.0,2,0.0,12.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
33,Andy Dalton,QB,2024,58.96,989.0,7,6.0,34.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
34,Kyle Rudolph,TE,2022,11.8,0.0,0,0.0,0.0,0,3,5,28.0,1,0.0226244343891402,0.0306834030683403,0.0584833740383826,0.1101966496722505
35,Randall Cobb,WR,2022,81.7,0.0,0,0.0,0.0,0,34,50,417.0,1,0.1149425287356321,0.1397881106533255,0.2842442816261087,0.0963292213071294
36,Randall Cobb,WR,2023,16.9,0.0,0,0.0,0.0,0,5,17,39.0,1,0.0615942028985507,0.0816427511133102,0.1577055052384743,0.0954904405652535
37,Tyrod Taylor,QB,2022,11.32,58.0,1,1.0,70.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
38,Tyrod Taylor,QB,2023,87.34,1341.0,5,3.0,197.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
39,Tyrod Taylor,QB,2024,20.06,119.0,3,0.0,13.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
40,Nick Bellore,LB,2022,0.3,0.0,0,0.0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
43,Rodney McLeod Jr.,DB,2024,6.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
44,Case Keenum,QB,2022,0.32,8.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
45,Case Keenum,QB,2023,9.74,291.0,1,3.0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
46,Cole Beasley,WR,2022,9.5,0.0,0,0.0,0.0,0,6,7,35.0,0,0.04375,0.0202177293934681,0.0817991835147744,0.0154593639575971
47,Brandon Bolden,RB,2022,27.3,0.0,0,0.0,66.0,0,9,9,57.0,1,0.0318021201413427,0.0112824370063933,0.0567291298171288,0.0490569823434991
48,Brandon Bolden,RB,2023,11.1,0.0,0,0.0,31.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
49,Russell Wilson,QB,2022,225.76,3524.0,16,11.0,277.0,3,1,1,1.0,0,0.002004008016032,-0.0002274795268425,0.002824028402574,0.000139470013947
50,Russell Wilson,QB,2023,256.90000000000003,3070.0,26,8.0,341.0,3,0,0,0.0,0,0.0,0.0,0.0,0.0
51,Russell Wilson,QB,2024,172.78,2482.0,16,5.0,155.0,2,0,0,0.0,0,0.0,0.0,0.0,0.0
52,Marvin Jones,WR,2022,116.9,0.0,0,0.0,0.0,0,46,81,529.0,3,0.1411149825783972,0.2511137162954279,0.4125634469039381,0.128907230730605
53,Marvin Jones,WR,2023,6.5,0.0,0,0.0,0.0,0,5,10,35.0,0,0.074074074074074,0.0944510035419126,0.1866719139446412,0.0166349809885931
54,Nick Foles,QB,2022,1.7999999999999998,225.0,0,4.0,8.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
55,Kirk Cousins,QB,2022,291.58,4547.0,29,14.0,97.0,2,0,0,0.0,0,0.0,0.0,0.0,0.0
56,Kirk Cousins,QB,2023,149.74,2331.0,18,5.0,25.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
57,Kirk Cousins,QB,2024,176.32,3508.0,18,16.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
58,T.Y. Hilton,WR,2022,19.1,0.0,0,0.0,0.0,0,7,10,121.0,0,0.087719298245614,0.18210197710718,0.2772605290541651,0.0799207397622192
59,Josh Gordon,WR,2022,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,0.0416666666666666,0.0591133004926108,0.1097906403940886,0.0
63,Ryan Tannehill,QB,2022,165.24,2536.0,14,6.0,98.0,2,0,0,0.0,0,0.0,0.0,0.0,0.0
64,Ryan Tannehill,QB,2023,80.03999999999999,1616.0,4,7.0,74.0,1,0,1,0.0,0,0.0040816326530612,-0.0005032712632108,0.0057198319690231,0.0
65,Cody Davis,DB,2023,6.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
66,Kyle Juszczyk,RB,2022,53.6,0.0,0,0.0,26.0,1,19,23,200.0,1,0.0560975609756097,0.0227108868060562,0.1023150509082596,0.0541120666600982
67,Kyle Juszczyk,RB,2023,38.5,0.0,0,0.0,6.0,0,14,17,119.0,2,0.0562913907284768,0.0303156146179402,0.1086895777870673,0.0722429906542056
68,Kyle Juszczyk,RB,2024,57.6,0.0,0,0.0,26.0,1,19,31,200.0,2,0.0719257540603248,0.0535664723841243,0.1507418089977867,0.0771370420624152
69,Adam Thielen,WR,2022,180.0,0.0,0,0.0,4.0,0,70,107,716.0,6,0.1592261904761904,0.206580259222333,0.4041034930921521,0.1743046907430469
70,Adam Thielen,WR,2023,231.0,0.0,0,0.0,6.0,0,103,137,1014.0,4,0.2337883959044368,0.2360553324408746,0.539526859809355,0.3100865236458456
71,Adam Thielen,WR,2024,139.5,0.0,0,0.0,0.0,0,48,62,615.0,5,0.1901840490797546,0.2425516999649491,0.4793174335915913,0.3205381875741986
72,Zach Ertz,TE,2022,115.6,0.0,0,0.0,0.0,0,47,69,406.0,4,0.1720698254364089,0.2110127069695802,0.4269149037302776,0.2377998345740281
73,Zach Ertz,TE,2023,51.7,0.0,0,0.0,0.0,0,27,43,187.0,1,0.1869565217391304,0.1712222795255286,0.4174126062291186,0.1518315018315018
74,Zach Ertz,TE,2024,177.4,0.0,0,0.0,0.0,0,66,91,654.0,7,0.1733333333333333,0.1718436873747495,0.3974749498997996,0.2038534395060862
75,Marquise Goodwin,WR,2022,90.2,0.0,0,0.0,5.0,0,27,42,387.0,4,0.0990566037735849,0.1447282252783235,0.2643674858830361,0.1640092623221964
76,Marquise Goodwin,WR,2023,14.0,0.0,0,0.0,33.0,0,4,13,67.0,0,0.0361111111111111,0.1225705329153605,0.152223092998955,0.0139409071993341
78,Ryan Griffin,TE,2022,6.6,0.0,0,0.0,0.0,0,4,8,26.0,0,0.0547945205479452,0.038999264164827,0.1133911921537794,0.0131712259371833
80,Keenan Allen,WR,2022,164.0,0.0,0,0.0,8.0,0,66,89,752.0,4,0.2181372549019608,0.2891475779196395,0.5585239446886527,0.2467236122049231
81,Keenan Allen,WR,2023,278.86,49.0,1,0.0,6.0,0,108,150,1243.0,7,0.3112033195020747,0.3879241250333957,0.7771442792798287,0.3515268689272258
82,Keenan Allen,WR,2024,184.4,0.0,0,1.0,0.0,0,70,121,744.0,7,0.2536687631027253,0.3005390835579515,0.6209344115004493,0.3178275290215588
83,Rex Burkhead,RB,2022,71.4,0.0,0,0.0,80.0,0,37,51,204.0,1,0.1005917159763313,0.0200534759358288,0.1669303547131601,0.0574893836057135
84,Robert Woods,WR,2022,117.7,0.0,0,0.0,0.0,0,53,91,527.0,2,0.1995614035087719,0.2007289038407625,0.459925228335768,0.1404783171403051
85,Robert Woods,WR,2023,89.3,0.0,0,0.0,7.0,0,40,75,426.0,1,0.1588983050847457,0.1838272225012556,0.3854092356281231,0.0887425186647744
86,Robert Woods,WR,2024,38.3,0.0,0,0.0,0.0,0,20,30,203.0,0,0.072992700729927,0.0819624819624819,0.175059036664876,0.0356265356265356
87,Giovani Bernard,RB,2022,4.7,0.0,0,0.0,28.0,0,2,2,-1.0,0,0.0256410256410256,-0.0159045725646123,0.0257378804098486,-0.0011160714285714
88,Travis Kelce,TE,2022,316.3,0.0,0,0.0,5.0,0,110,152,1338.0,12,0.2334869431643625,0.2279286926994906,0.5325733689061364,0.2737700348432055
89,Travis Kelce,TE,2023,219.4,0.0,0,0.0,0.0,0,93,121,984.0,5,0.2137809187279152,0.2257974258533855,0.5013093187745812,0.2190616652894944
90,Travis Kelce,TE,2024,195.4,0.0,0,0.0,1.0,0,97,133,823.0,3,0.2281303602058319,0.2395550732501356,0.5338395989088565,0.1619222975605954
91,Latavius Murray,RB,2022,154.2,0.0,0,0.0,760.0,6,27,35,132.0,0,0.0815850815850815,-0.0163127912998446,0.1093273893377466,0.0220809635329541
92,Latavius Murray,RB,2023,82.9,0.0,0,0.0,300.0,4,17,22,119.0,0,0.0423076923076923,0.0077678775416952,0.0696758404948946,0.0160377358490566
93,Matt Barkley,QB,2023,-0.3,0.0,0,0.0,-3.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
94,DeAndre Hopkins,WR,2022,151.7,0.0,0,0.0,0.0,0,64,96,717.0,3,0.281524926686217,0.4111204717775906,0.7511837674513981,0.3406957928802588
95,DeAndre Hopkins,WR,2023,223.6,0.0,0,0.0,9.0,0,75,137,1057.0,7,0.2773279352226721,0.4232873714160647,0.75462179996686,0.4004840546697039
96,DeAndre Hopkins,WR,2024,147.0,0.0,0,0.0,0.0,0,56,80,610.0,5,0.1384083044982699,0.2279318239633681,0.3899579159180993,0.1818761620616595
97,Geno Smith,QB,2022,303.88,4282.0,30,11.0,366.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
