player_id,player_name,position,season,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,tgt_sh,ay_sh,wopr_y,dom
00-0019596,Tom Brady,QB,2022,490,733,4694.0,25,9.0,29,-1.0,1,0,1,0.0,0,271.65999999999997,271.65999999999997,0.0013315579227696406,0.0030995738086013174,0.004476995931035515,0.0
00-0022824,Andy Lee,P,2022,1,1,4.0,0,0.0,0,0.0,0,0,0,0.0,0,0.16,0.16,0.0,0.0,0.0,
00-0023459,Aaron Rodgers,QB,2022,350,542,3695.0,26,12.0,34,94.0,1,0,0,0.0,0,239.2,239.2,0.0,0.0,0.0,0.0
00-0023459,Aaron Rodgers,QB,2023,0,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
00-0023459,Aaron Rodgers,QB,2024,368,584,3897.0,28,11.0,22,107.0,0,0,0,0.0,0,256.58,256.58,0.0,0.0,0.0,0.0
00-0024243,Marcedes Lewis,TE,2022,0,0,0.0,0,0.0,0,0.0,0,6,7,66.0,2,20.6,26.6,0.03482587064676617,0.03327596098680436,0.07885957475959274,0.1349206349206349
00-0024243,Marcedes Lewis,TE,2023,0,0,0.0,0,0.0,0,0.0,0,4,5,29.0,1,8.9,12.899999999999999,0.034013605442176874,0.007901668129938543,0.057341742667216145,0.07619216241737488
00-0024243,Marcedes Lewis,TE,2024,0,0,0.0,0,0.0,0,0.0,0,1,1,2.0,0,0.2,1.2,0.034482758620689655,0.009433962264150943,0.059271307742355235,0.004424778761061947
00-0026143,Matt Ryan,QB,2022,309,461,3057.0,14,13.0,27,70.0,1,0,0,0.0,0,155.28,155.28,0.0,0.0,0.0,0.0
00-0026158,Joe Flacco,QB,2022,110,191,1051.0,5,3.0,3,6.0,0,0,0,0.0,0,48.64,48.64,0.0,0.0,0.0,0.0
00-0026158,Joe Flacco,QB,2023,123,204,1616.0,13,8.0,9,2.0,0,0,0,0.0,0,100.84,100.84,0.0,0.0,0.0,0.0
00-0026158,Joe Flacco,QB,2024,162,248,1761.0,12,7.0,9,26.0,0,0,0,0.0,0,99.04,99.04,0.0,0.0,0.0,0.0
00-0026189,DeSean Jackson,WR,2022,0,0,0.0,0,0.0,0,0.0,0,9,17,153.0,0,15.3,24.3,0.09659090909090909,0.1980327868852459,0.3033125931445604,0.07136194029850747
00-0026197,Chad Henne,QB,2022,0,2,0.0,0,0.0,5,-5.0,0,0,0,0.0,0,-0.5,-0.5,0.0,0.0,0.0,0.0
00-0026300,Josh Johnson,QB,2022,1,2,10.0,0,0.0,2,3.0,0,0,0,0.0,0,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,0.0
00-0026300,Josh Johnson,QB,2024,2,3,17.0,0,0.0,4,1.0,0,0,0,0.0,0,0.78,0.78,0.0,0.0,0.0,0.0
00-0026498,Matthew Stafford,QB,2022,206,303,2087.0,10,8.0,13,9.0,1,0,0,0.0,0,108.38000000000001,108.38000000000001,0.0,0.0,0.0,0.0
00-0026498,Matthew Stafford,QB,2023,326,521,3965.0,24,11.0,21,65.0,0,0,0,0.0,0,243.1,243.1,0.0,0.0,0.0,0.0
00-0026498,Matthew Stafford,QB,2024,340,517,3762.0,20,8.0,30,41.0,0,0,0,0.0,0,214.58,214.58,0.0,0.0,0.0,0.0
00-0026544,Chase Daniel,QB,2022,8,12,52.0,1,0.0,1,4.0,0,0,0,0.0,0,8.48,8.48,0.0,0.0,0.0,0.0
00-0026625,Brian Hoyer,QB,2022,5,6,37.0,0,0.0,0,0.0,0,0,0,0.0,0,1.48,1.48,0.0,0.0,0.0,0.0
00-0026625,Brian Hoyer,QB,2023,23,42,231.0,0,2.0,3,-3.0,0,0,0,0.0,0,4.94,4.94,0.0,0.0,0.0,0.0
00-0027114,Thomas Morstead,P,2023,1,1,18.0,0,0.0,0,0.0,0,0,0,0.0,0,0.72,0.72,0.0,0.0,0.0,0.0
00-0027688,Colt McCoy,QB,2022,90,132,780.0,1,3.0,14,36.0,0,0,0,0.0,0,32.8,32.8,0.0,0.0,0.0,0.0
